diagnosis_code,specialty,frequency
ICD_02.56,Cardiology,22
ICD_07.00,Cardiology,17
ICD_37.80,Cardiology,16
ICD_14.65,Cardiology,16
ICD_02.02,Cardiology,16
ICD_04.03,Cardiology,16
ICD_51.39,Cardiology,16
ICD_72.15,Cardiology,16
ICD_01.98,Cardiology,15
ICD_22.44,Cardiology,15
ICD_87.52,Cardiology,15
ICD_90.68,Cardiology,15
ICD_54.56,Cardiology,14
ICD_68.68,Cardiology,14
ICD_35.84,Cardiology,14
ICD_92.94,Cardiology,14
ICD_63.70,Cardiology,14
ICD_68.96,Cardiology,13
ICD_13.93,Cardiology,13
ICD_40.75,Cardiology,13
ICD_86.29,Cardiology,13
ICD_54.01,Cardiology,13
ICD_89.48,Cardiology,13
ICD_79.11,Cardiology,13
ICD_24.15,Cardiology,13
ICD_50.41,Cardiology,12
ICD_91.71,Cardiology,12
ICD_40.23,Cardiology,12
ICD_17.30,Cardiology,12
ICD_68.23,Cardiology,12
ICD_76.46,Cardiology,12
ICD_22.23,Cardiology,12
ICD_67.80,Cardiology,12
ICD_39.54,Cardiology,12
ICD_96.19,Cardiology,12
ICD_76.45,Cardiology,12
ICD_49.28,Cardiology,12
ICD_44.22,Cardiology,12
ICD_23.65,Cardiology,11
ICD_34.64,Cardiology,11
ICD_83.31,Cardiology,11
ICD_63.65,Cardiology,11
ICD_69.29,Cardiology,11
ICD_81.39,Cardiology,11
ICD_26.11,Cardiology,11
ICD_54.18,Cardiology,11
ICD_86.94,Cardiology,11
ICD_16.57,Cardiology,11
ICD_17.61,Cardiology,11
ICD_94.77,Cardiology,11
ICD_59.11,Cardiology,11
ICD_30.42,Cardiology,10
ICD_69.06,Cardiology,10
ICD_65.92,Cardiology,10
ICD_27.05,Cardiology,10
ICD_04.55,Cardiology,10
ICD_66.88,Cardiology,10
ICD_27.23,Cardiology,10
ICD_75.60,Cardiology,10
ICD_80.85,Cardiology,10
ICD_90.40,Cardiology,9
ICD_96.23,Cardiology,9
ICD_66.54,Cardiology,9
ICD_29.68,Cardiology,9
ICD_88.68,Cardiology,9
ICD_45.65,Cardiology,9
ICD_18.44,Cardiology,9
ICD_25.54,Cardiology,9
ICD_09.59,Cardiology,9
ICD_71.95,Cardiology,8
ICD_56.84,Cardiology,8
ICD_88.62,Cardiology,8
ICD_29.88,Cardiology,8
ICD_23.88,Cardiology,8
ICD_11.05,Cardiology,8
ICD_30.54,Cardiology,8
ICD_31.22,Cardiology,8
ICD_50.89,Cardiology,8
ICD_36.86,Cardiology,8
ICD_69.24,Cardiology,8
ICD_54.10,Cardiology,8
ICD_27.28,Cardiology,7
ICD_15.48,Cardiology,7
ICD_06.96,Cardiology,7
ICD_68.92,Cardiology,7
ICD_81.33,Cardiology,7
ICD_19.95,Cardiology,7
ICD_62.26,Cardiology,6
ICD_12.40,Cardiology,6
ICD_83.64,Cardiology,6
ICD_72.80,Cardiology,6
ICD_16.34,Cardiology,6
ICD_65.16,Cardiology,6
ICD_88.71,Cardiology,6
ICD_65.10,Cardiology,6
ICD_21.96,Cardiology,6
